Wi-Fi Name,Wi-Fi Type,Location Description,Range in Metres,Install Date,Install Type,Column Number,Road,Easting,Northing,Longitude,Latitude,Location,Range,Last Uploaded
Public Wi-Fi on Lighting Column 10 FORTESS ROAD,Public Wi-Fi,BY 57,30,19/12/2014,Lighting Column,10,FORTESS ROAD,529010.73,185548.16,-0.140543,51.55408,POINT (-0.140543114119 51.554079374825),"POLYGON ((-0.140110577594 51.554079315273, -0.14014353945 51.553976132555, -0.140237332536 51.553888667596, -0.140377677541 51.553830236023, -0.140543208374 51.553809733392, -0.140708724858 51.553830280992, -0.140849029 51.553888750688, -0.140942760929 51.55397624112, -0.140975650645 51.554079432783, -0.140942690596 51.554182615733, -0.140848898259 51.554270081251, -0.140708552504 51.554328513383, -0.140543019862 51.554349016246, -0.140377501571 51.554328468414, -0.140237196681 51.554269998159, -0.140143465502 51.554182507168, -0.140110577594 51.554079315273))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 18 CHALK FARM ROAD,Public Wi-Fi,O/S NO. 47,30,24/10/2014,Lighting Column,18,CHALK FARM ROAD,528466.45,184295.76,-0.148846,51.542949,POINT (-0.148846440464 51.54294823641),"POLYGON ((-0.148414009463 51.54294820746, -0.148446944495 51.542845022213, -0.148540698774 51.542757550452, -0.148680998901 51.542699108838, -0.148846485613 51.542678594456, -0.149011965452 51.542699130385, -0.149152246004 51.542757590266, -0.149245970989 51.542845074232, -0.149278871464 51.542948263766, -0.14924593824 51.543051449244, -0.149152184708 51.543138921565, -0.149011883833 51.543197363737, -0.148846395313 51.543217878351, -0.148680913667 51.54319734219, -0.148540632367 51.54313888175, -0.148446908132 51.543051397224, -0.148414009463 51.54294820746))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 7 CAMDEN HIGH STREET,Public Wi-Fi,OPP INVENESS STREET,30,18/10/2018,Lighting Column,7,CAMDEN HIGH STREET,528861.56,183951.79,-0.143277,51.539768,POINT (-0.143277862182 51.53976703733),"POLYGON ((-0.142845461336 51.53976698786, -0.142878406663 51.53966380412, -0.14297216508 51.539576336761, -0.143112462556 51.539517901773, -0.143277940234 51.539497395233, -0.143443406029 51.539517939026, -0.143583669667 51.539576405595, -0.14367737744 51.539663894057, -0.143710263029 51.539767085207, -0.143677319508 51.539870269178, -0.143583561838 51.539957737097, -0.143443263613 51.540016172644, -0.143277784128 51.540036679415, -0.143112316526 51.54001613539, -0.142972052142 51.539957668262, -0.142878345117 51.539870179242, -0.142845461336 51.53976698786))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 1 ROYAL COLLEGE STREET,Public Wi-Fi,J/W ROYAL COLLEGE ST,30,19/12/2014,Lighting Column,1,ROYAL COLLEGE STREET,529076.81,184402.4,-0.14001,51.543768,POINT (-0.140010657468 51.543767495224),"POLYGON ((-0.139578218712 51.543767433712, -0.139611174318 51.543664250961, -0.139704947221 51.543576786273, -0.139845261184 51.543518355232, -0.14001075484 51.543497853314, -0.140176233672 51.543518401701, -0.14031650542 51.543576872135, -0.140410215144 51.543664363146, -0.140443096226 51.543767555141, -0.140410142426 51.543870738124, -0.140316370271 51.543958203372, -0.140176055559 51.544016634971, -0.140010560095 51.54403713712, -0.139845079456 51.544016588502, -0.13970480696 51.543958117508, -0.139611097986 51.543870625938, -0.139578218712 51.543767433712))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 16 NEW OXFORD STREET,Public Wi-Fi,FRONT OF N 78,30,24/10/2014,Lighting Column,16,NEW OXFORD STREET,529993.7,181427.4,-0.127893,51.516822,POINT (-0.127893566991 51.516821434274),"POLYGON ((-0.127461383483 51.516821328122, -0.12749434701 51.516718148298, -0.127588087769 51.516630692888, -0.127728334417 51.516572276064, -0.127893735835 51.516551791136, -0.12805911155 51.516572356699, -0.128199284997 51.516630841883, -0.128292916203 51.516718342969, -0.128325750502 51.516821538833, -0.128292788779 51.516924718888, -0.128199048766 51.517012174857, -0.128058801369 51.51707059224, -0.127893398145 51.517091077399, -0.127728020627 51.517070511604, -0.127587846433 51.517012025861, -0.127494215977 51.516924524216, -0.127461383483 51.516821328122))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 7 KILBURN HIGH ROAD,Public Wi-Fi,OPP 43,30,25/04/2014,Lighting Column,7,KILBURN HIGH ROAD,525530.1,183493.4,-0.191453,51.536398,POINT (-0.191453099705 51.536397357041),"POLYGON ((-0.19102073083 51.536397485101, -0.191053564786 51.536294287799, -0.19114722392 51.536206781916, -0.191287449317 51.536148289307, -0.191452893091 51.53612771482, -0.19161836832 51.536148190685, -0.191758683292 51.536206599687, -0.191852476486 51.536294049705, -0.191885468578 51.536397227389, -0.19185263643 51.536500424921, -0.191758978045 51.536587931363, -0.191618751903 51.536646424531, -0.191453306322 51.53666699925, -0.191287829286 51.536646523154, -0.191147513564 51.536588113594, -0.191053721116 51.536500663016, -0.19102073083 51.536397485101))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 8 EVERSHOLT STREET,Public Wi-Fi,O/S 64,30,24/10/2014,Lighting Column,8,EVERSHOLT STREET,529599.6,182826.6,-0.133055,51.529487,POINT (-0.13305573424 51.529486325449),"POLYGON ((-0.132623430808 51.529486238314, -0.13265639182 51.529383057264, -0.132750148703 51.529295597919, -0.13289042766 51.52923717505, -0.133055872655 51.529216682889, -0.133221296578 51.529237241131, -0.133361515527 51.52929572002, -0.133455182601 51.529383216797, -0.133488037674 51.529486410992, -0.133455078468 51.529589592274, -0.133361322331 51.529677052178, -0.133221042624 51.529735475605, -0.133055595823 51.529755967998, -0.132890170095 51.529735409524, -0.132749950399 51.529676930076, -0.132656284075 51.52958943274, -0.132623430808 51.529486238314))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 14 SOUTH END GREEN,Public Wi-Fi,O/S BUS STAND,30,19/12/2014,Lighting Column,14,SOUTH END GREEN,527288.41,185545.15,-0.165373,51.554444,POINT (-0.165373188986 51.554443043964),"POLYGON ((-0.164940649004 51.55444307592, -0.164973554947 51.55433988624, -0.165067301157 51.554252401449, -0.165207615462 51.554193940191, -0.165373136444 51.554173402543, -0.165538665424 51.554193915124, -0.165679002508 51.55425235513, -0.165772782811 51.554339825721, -0.165805728968 51.554443010415, -0.165772824834 51.554546200326, -0.165679079373 51.554633685676, -0.165538764319 51.554692147493, -0.165373241529 51.554712685373, -0.165207710741 51.554692172561, -0.165067372907 51.554633731996, -0.164973593353 51.554546260845, -0.164940649004 51.55444307592))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 44 HAVERSTOCK HILL,Public Wi-Fi,O/S GARAGE,30,19/12/2014,Lighting Column,44,HAVERSTOCK HILL,527211.81,185223.6,-0.166593,51.551571,POINT (-0.16659365912 51.551570570161),"POLYGON ((-0.166161146379 51.551570606614, -0.166194047488 51.551467416542, -0.166287785454 51.551379930733, -0.166428089359 51.551321467987, -0.166593599367 51.551300928608, -0.166759118471 51.551321439478, -0.166899448281 51.551379878053, -0.166993225018 51.551467347713, -0.16702617186 51.551570532114, -0.166993272559 51.551673722418, -0.166899535342 51.551761208786, -0.166759230689 51.551819672091, -0.166593718873 51.551840211703, -0.166428197961 51.551819700601, -0.166287867401 51.551761261466, -0.166194091413 51.551673791248, -0.166161146379 51.551570606614))",29/10/2018 02:53:47 PM
Public Wi-Fi on Lighting Column 33 KENTISH TOWN ROAD,Public Wi-Fi,O/S NO. 177,30,19/12/2014,Lighting Column,33,KENTISH TOWN ROAD,528938.85,184665.54,-0.141902,51.546164,POINT (-0.141902642442 51.546163805829),"POLYGON ((-0.141470180969 51.54616375129, -0.141503134028 51.54606056805, -0.14159690823 51.545973101885, -0.14173722714 51.545914668607, -0.141902728639 51.545894164029, -0.142068217015 51.545914709739, -0.142208498556 51.545973177889, -0.14230221683 51.546060667353, -0.142335103917 51.546163858775, -0.142302152665 51.546267042247, -0.142208379211 51.546354508971, -0.142068059551 51.546412942809, -0.141902556245 51.546433447617, -0.141737066061 51.546412901675, -0.141596783773 51.546354432967, -0.141503066248 51.546266942944, -0.141470180969 51.54616375129))",29/10/2018 02:53:47 PM
